year,capacity_kg,efficiency_kwh_per_kg,electric_intensity_standby,electric_consumption_annual,electric_consumption_activity
1966,4.4,1.49,0,240,4.615384617
1967,4.4,1.49,0,240,4.615384617
1968,4.4,1.49,0,240,4.615384617
1969,4.4,1.49,0,240,4.615384617
1970,4.4,1.49,0,240,4.615384617
1971,4.4,1.47,0,240,4.615384617
1972,4.4,1.47,0,240,4.615384617
1973,4.4,1.47,0,240,4.615384617
1974,4.4,1.47,0,240,4.615384617
1975,4.4,1.47,0,240,4.615384617
1976,4.4,1.46,0,240,4.615384617
1977,4.4,1.46,0,240,4.615384617
1978,4.4,1.46,0,240,4.615384617
1979,4.4,1.46,0,240,4.615384617
1980,4.4,1.46,0,240,4.615384617
1981,4.4,1.45,0,240,4.615384617
1982,4.4,1.45,0,240,4.615384617
1983,4.4,1.45,0,240,4.615384617
1984,4.4,1.45,0,240,4.615384617
1985,4.4,1.45,0,240,4.615384617
1986,4.4,1.41,0,240,4.615384617
1987,4.4,1.41,0,240,4.615384617
1988,4.4,1.41,0,240,4.615384617
1989,4.4,1.41,0,240,4.615384617
1990,4.4,1.41,0,240,4.615384617
1991,4.44,1.23,0.2,240,4.615384617
1992,4.45,1.21,0.2,240,4.615384617
1993,4.42,1.2,0.3,240,4.615384617
1994,4.39,1.2,0.3,237,4.557692308
1995,4.4,1.18,0.4,234,4.5
1996,4.37,1.17,0.5,230,4.423076922
1997,4.33,1.17,0.5,228,4.384615383
1998,4.37,1.16,0.6,229,4.403846153
1999,4.44,1.15,0.6,231,4.442307692
2000,4.37,1.16,0.7,229,4.403846153
2001,4.49,1.17,0.7,229,4.403846153
2002,4.49,1.2,0.6,226,4.346153847
2003,4.48,1.2,0.6,226,4.346153847
2004,4.48,1.19,0.5,226,4.346153847
2005,4.39,1.19,0.5,219,4.211538461
2006,4.37,1.18,0.5,219,4.211538461
2007,4.36,1.17,0.4,219,4.211538461
2008,4.34,1.17,0.4,219,4.211538461
2009,4.32,1.16,0.3,219,4.211538461
2010,4.3,1.16,0.3,219,4.211538461
2011,4.3,1.15,0.3,219,4.211538461
2012,4.3,1.15,0.3,219,4.211538461
2013,4.3,1.15,0.3,219,4.211538461
2014,4.3,1.15,0.3,219,4.211538461
2015,4.3,1.14,0.3,219,4.211538461
2016,4.3,1.14,0.2,219,4.211538461
2017,4.3,1.14,0.2,219,4.211538461
2018,4.3,1.14,0.2,219,4.211538461
2019,4.3,1.14,0.2,219,4.211538461
2020,4.3,1.13,0.2,219,4.211538461
