type,year,water_consumption_activity,electric_consumption_annual,electric_intensity_standby,hotwater_consumption_activity_kilolitres,electric_consumption_activity,electric_consumption_activity_kwh
front-loader,1966,118,364,2,30.5,3600000,1
front-loader,1967,118,364,2,30.5,3600000,1
front-loader,1968,118,364,2,30.5,3600000,1
front-loader,1969,118,364,2,30.5,3600000,1
front-loader,1970,118,364,2,30.5,3600000,1
front-loader,1971,117,364,1.7,30,3600000,1
front-loader,1972,117,364,1.7,30,3600000,1
front-loader,1973,117,364,1.7,30,3600000,1
front-loader,1974,117,364,1.7,30,3600000,1
front-loader,1975,117,364,1.7,30,3600000,1
front-loader,1976,116,364,1.3,29.5,3600000,1
front-loader,1977,116,364,1.3,29.5,3600000,1
front-loader,1978,116,364,1.3,29.5,3600000,1
front-loader,1979,116,364,1.3,29.5,3600000,1
front-loader,1980,116,364,1.3,29.5,3600000,1
front-loader,1981,115,364,1,29,3600000,1
front-loader,1982,115,364,1,29,3600000,1
front-loader,1983,115,364,1,29,3600000,1
front-loader,1984,115,364,1,29,3600000,1
front-loader,1985,115,364,1,29,3600000,1
front-loader,1986,114,364,1,28.4,3600000,1
front-loader,1987,114,364,1,28.4,3600000,1
front-loader,1988,114,364,1,28.4,3600000,1
front-loader,1989,114,364,1,28.4,3600000,1
front-loader,1990,114,364,1,28.4,3600000,1
front-loader,1991,105,364,1,27.9,3600000,1
front-loader,1992,104,364,0.9,27.8,3600000,1
front-loader,1993,97,364,0.9,25.8,3600000,1
front-loader,1994,92,283,0.9,18.4,2798901.1,0.777472528
front-loader,1995,85,295,0.9,20.9,2917582.42,0.810439561
front-loader,1996,91,241,0.9,21.1,2383516.48,0.662087911
front-loader,1997,91,305,0.8,21,3016483.52,0.837912089
front-loader,1998,81,246,0.8,15.5,2432967.03,0.675824175
front-loader,1999,69,240,0.8,15.4,2373626.37,0.659340658
front-loader,2000,67,235,0,13.8,2324175.82,0.645604394
front-loader,2001,71,230,0,13,2274725.27,0.631868131
front-loader,2002,73,239,0,12.8,2363736.26,0.656593406
front-loader,2003,74,236,0,11.9,2334065.93,0.648351647
front-loader,2004,71,250,0,11.7,2472527.47,0.686813186
front-loader,2005,71,263,0.8,11.5,2601098.9,0.722527472
front-loader,2006,70,263,0.9,10.7,2601098.9,0.722527472
front-loader,2007,70,263,1.2,9.9,2601098.9,0.722527472
front-loader,2008,69,263,1.6,9.2,2601098.9,0.722527472
front-loader,2009,68,263,1.9,8.5,2601098.9,0.722527472
front-loader,2010,68,263,2.2,7.8,2601098.9,0.722527472
front-loader,2011,67,263,2.5,7.7,2601098.9,0.722527472
front-loader,2012,67,263,2.9,7.6,2601098.9,0.722527472
front-loader,2013,66,263,3.2,7.5,2601098.9,0.722527472
front-loader,2014,66,263,3.5,7.4,2601098.9,0.722527472
front-loader,2015,65,263,3.3,7.3,2601098.9,0.722527472
front-loader,2016,65,263,3.2,7.2,2601098.9,0.722527472
front-loader,2017,64,263,3,7.1,2601098.9,0.722527472
front-loader,2018,64,263,2.9,7,2601098.9,0.722527472
front-loader,2019,63,263,2.7,6.9,2601098.9,0.722527472
front-loader,2020,63,263,2.4,6.8,2601098.9,0.722527472
top-loader,1966,139,590,0,68.9,5835164.84,1.620879122
top-loader,1967,139,590,0,68.9,5835164.84,1.620879122
top-loader,1968,139,590,0,68.9,5835164.84,1.620879122
top-loader,1969,139,590,0,68.9,5835164.84,1.620879122
top-loader,1970,139,590,0,68.9,5835164.84,1.620879122
top-loader,1971,139,590,0,67.7,5835164.84,1.620879122
