type,year,electric_intensity,electric_intensity_standby,electric_intensity_off,
laptop,1966,30,0,0,"currently repeats, need better data here"
laptop,1967,30,0,0,
laptop,1968,30,0,0,
laptop,1969,30,0,0,
laptop,1970,30,0,0,
laptop,1971,30,0.3,0,
laptop,1972,30,0.3,0,
laptop,1973,30,0.3,0,
laptop,1974,30,0.3,0,
laptop,1975,30,0.3,0,
laptop,1976,30,0.5,0,
laptop,1977,30,0.5,0,
laptop,1978,30,0.5,0,
laptop,1979,30,0.5,0,
laptop,1980,30,0.5,0,
laptop,1981,30,0.8,0,
laptop,1982,30,0.8,0,
laptop,1983,30,0.8,0,
laptop,1984,30,0.8,0,
laptop,1985,30,0.8,0,
laptop,1986,30,1,0,
laptop,1987,30,1,0,
laptop,1988,30,1,0,
laptop,1989,30,1,0,
laptop,1990,30,1,0,
laptop,1991,30,12.7,0,
laptop,1992,30,15,0,
laptop,1993,30,14,0,
laptop,1994,30,13,0,
laptop,1995,30,12,0,
laptop,1996,30,11,0.1,
laptop,1997,30,10,0.1,
laptop,1998,30,8.9,0.1,
laptop,1999,30,7.9,0.1,
laptop,2000,30,6.9,0.1,
laptop,2001,30,6,0.1,
laptop,2002,30,5.2,0.1,
laptop,2003,30,4.2,0.1,
laptop,2004,30,3.5,0.1,
laptop,2005,30,3.1,0.1,
laptop,2006,30,2.5,0.1,
laptop,2007,30,2.1,0.1,
laptop,2008,30,1.7,0.1,
laptop,2009,30,1.5,0.1,
laptop,2010,30,1.3,0.1,
laptop,2011,30,1.2,0.1,
laptop,2012,30,1.1,0.1,
laptop,2013,30,1,0.1,
laptop,2014,30,1,0.1,
laptop,2015,30,0.9,0.1,
laptop,2016,30,0.9,0,
laptop,2017,30,0.8,0,
laptop,2018,30,0.7,0,
laptop,2019,30,0.7,0,
laptop,2020,30,0.6,0,
desktop,1966,55,0,0,
desktop,1967,55,0,0,
desktop,1968,55,0,0,
desktop,1969,55,0,0,
desktop,1970,55,0,0,
desktop,1971,57.5,0.3,0,
desktop,1972,57.5,0.3,0,
desktop,1973,57.5,0.3,0,
desktop,1974,57.5,0.3,0,
desktop,1975,57.5,0.3,0,
desktop,1976,60,0.5,0,
desktop,1977,60,0.5,0,
desktop,1978,60,0.5,0,
desktop,1979,60,0.5,0,
desktop,1980,60,0.5,0,
desktop,1981,62.5,0.8,0,
desktop,1982,62.5,0.8,0,
desktop,1983,62.5,0.8,0,
desktop,1984,62.5,0.8,0,
desktop,1985,62.5,0.8,0,
desktop,1986,65,1,0,
desktop,1987,65,1,0,
desktop,1988,65,1,0,
desktop,1989,65,1,0,
desktop,1990,65,1,0,
desktop,1991,65.7,12.7,0,
desktop,1992,66.3,15,0,
desktop,1993,67,14,0,
desktop,1994,67.6,13,0,
desktop,1995,68.7,12,0,
desktop,1996,69.7,11,0.1,
desktop,1997,70.7,10,0.1,
desktop,1998,72.1,8.9,0.1,
desktop,1999,73.4,7.9,0.1,
desktop,2000,75.4,6.9,0.1,
desktop,2001,77.6,6,0.1,
desktop,2002,79.7,5.2,0.1,
desktop,2003,81.9,4.2,0.1,
desktop,2004,87.2,3.5,0.1,
desktop,2005,100.2,3.1,0.1,
desktop,2006,120.9,2.5,0.1,
desktop,2007,140.9,2.1,0.1,
desktop,2008,158.4,1.7,0.1,
desktop,2009,173.7,1.5,0.1,
desktop,2010,187.2,1.3,0.1,
desktop,2011,191.3,1.2,0.1,
desktop,2012,196.9,1.1,0.1,
desktop,2013,203.4,1,0.1,
desktop,2014,210.4,1,0.1,
desktop,2015,217.9,0.9,0.1,
desktop,2016,225.5,0.9,0,
desktop,2017,229.4,0.8,0,
desktop,2018,231,0.7,0,
desktop,2019,230.9,0.7,0,
desktop,2020,229.6,0.6,0,
console,1966,55,0,0,
console,1967,55,0,0,
console,1968,55,0,0,
console,1969,55,0,0,
console,1970,55,0,0,
console,1971,57.5,0.3,0,
console,1972,57.5,0.3,0,
console,1973,57.5,0.3,0,
console,1974,57.5,0.3,0,
console,1975,57.5,0.3,0,
console,1976,60,0.5,0,
console,1977,60,0.5,0,
console,1978,60,0.5,0,
console,1979,60,0.5,0,
console,1980,60,0.5,0,
console,1981,62.5,0.8,0,
console,1982,62.5,0.8,0,
console,1983,62.5,0.8,0,
console,1984,62.5,0.8,0,
console,1985,62.5,0.8,0,
console,1986,65,1,0,
console,1987,65,1,0,
console,1988,65,1,0,
console,1989,65,1,0,
console,1990,65,1,0,
console,1991,65.7,12.7,0,
console,1992,66.3,15,0,
console,1993,67,14,0,
console,1994,67.6,13,0,
console,1995,68.7,12,0,
console,1996,69.7,11,0.1,
console,1997,70.7,10,0.1,
console,1998,72.1,8.9,0.1,
console,1999,73.4,7.9,0.1,
console,2000,75.4,6.9,0.1,
console,2001,77.6,6,0.1,
console,2002,79.7,5.2,0.1,
console,2003,81.9,4.2,0.1,
console,2004,87.2,3.5,0.1,
console,2005,100.2,3.1,0.1,
console,2006,120.9,2.5,0.1,
console,2007,140.9,2.1,0.1,
console,2008,158.4,1.7,0.1,
console,2009,173.7,1.5,0.1,
console,2010,187.2,1.3,0.1,
console,2011,191.3,1.2,0.1,
console,2012,196.9,1.1,0.1,
console,2013,203.4,1,0.1,
console,2014,210.4,1,0.1,
console,2015,217.9,0.9,0.1,
console,2016,225.5,0.9,0,
console,2017,229.4,0.8,0,
console,2018,231,0.7,0,
console,2019,230.9,0.7,0,
console,2020,229.6,0.6,0,
server,1966,55,0,0,
server,1967,55,0,0,
server,1968,55,0,0,
server,1969,55,0,0,
server,1970,55,0,0,
server,1971,57.5,0.3,0,
server,1972,57.5,0.3,0,
server,1973,57.5,0.3,0,
server,1974,57.5,0.3,0,
server,1975,57.5,0.3,0,
server,1976,60,0.5,0,
server,1977,60,0.5,0,
server,1978,60,0.5,0,
server,1979,60,0.5,0,
server,1980,60,0.5,0,
server,1981,62.5,0.8,0,
server,1982,62.5,0.8,0,
server,1983,62.5,0.8,0,
server,1984,62.5,0.8,0,
server,1985,62.5,0.8,0,
server,1986,65,1,0,
server,1987,65,1,0,
server,1988,65,1,0,
server,1989,65,1,0,
server,1990,65,1,0,
server,1991,65.7,12.7,0,
server,1992,66.3,15,0,
server,1993,67,14,0,
server,1994,67.6,13,0,
server,1995,68.7,12,0,
server,1996,69.7,11,0.1,
server,1997,70.7,10,0.1,
server,1998,72.1,8.9,0.1,
server,1999,73.4,7.9,0.1,
server,2000,75.4,6.9,0.1,
server,2001,77.6,6,0.1,
server,2002,79.7,5.2,0.1,
server,2003,81.9,4.2,0.1,
server,2004,87.2,3.5,0.1,
server,2005,100.2,3.1,0.1,
server,2006,120.9,2.5,0.1,
server,2007,140.9,2.1,0.1,
server,2008,158.4,1.7,0.1,
server,2009,173.7,1.5,0.1,
server,2010,187.2,1.3,0.1,
server,2011,191.3,1.2,0.1,
server,2012,196.9,1.1,0.1,
server,2013,203.4,1,0.1,
server,2014,210.4,1,0.1,
server,2015,217.9,0.9,0.1,
server,2016,225.5,0.9,0,
server,2017,229.4,0.8,0,
server,2018,231,0.7,0,
server,2019,230.9,0.7,0,
server,2020,229.6,0.6,0,
