type,year,storage_fresh,storage_freezer,electric_consumption_annual,volume_coeff,,
single-door,1966,209,36,884,12989387.76,,
single-door,1967,209,36,884,12989387.76,,
single-door,1968,209,36,884,12989387.76,,
single-door,1969,209,36,884,12989387.76,,
single-door,1970,209,36,884,12989387.76,,
single-door,1971,207,40,886,12913360.32,,
single-door,1972,207,40,886,12913360.32,,
single-door,1973,207,40,886,12913360.32,,
single-door,1974,207,40,886,12913360.32,,
single-door,1975,207,40,886,12913360.32,,
single-door,1976,206,45,888,12736254.98,,
single-door,1977,206,45,888,12736254.98,,
single-door,1978,206,45,888,12736254.98,,
single-door,1979,206,45,888,12736254.98,,
single-door,1980,206,45,888,12736254.98,,
single-door,1981,208,51,888,12342857.14,,
single-door,1982,208,51,888,12342857.14,,
single-door,1983,208,51,888,12342857.14,,
single-door,1984,208,51,888,12342857.14,,
single-door,1985,208,51,888,12342857.14,,
single-door,1986,226,64,853,10588965.52,,
single-door,1987,226,64,853,10588965.52,,
single-door,1988,226,64,853,10588965.52,,
single-door,1989,226,64,853,10588965.52,,
single-door,1990,226,64,853,10588965.52,,
single-door,1991,246,80,731,8072392.638,,
single-door,1992,248,83,726,7896072.508,,
single-door,1993,250,85,721,7748059.701,,
single-door,1994,248,85,703,7600000,,
single-door,1995,252,88,696,7369411.765,,
single-door,1996,255,91,708,7366473.988,,
single-door,1997,253,92,675,7043478.261,,
single-door,1998,252,92,645,6750000,,
single-door,1999,248,97,596,6219130.435,,
single-door,2000,254,93,588,6100288.184,,
single-door,2001,263,100,604,5990082.645,,
single-door,2002,260,100,598,5980000,,
single-door,2003,262,101,583,5781818.182,,
single-door,2004,257,96,525,5354107.649,,
single-door,2005,259,100,450,4512534.819,,
single-door,2006,262,104,438,4308196.721,,
single-door,2007,262,104,437,4298360.656,,
single-door,2008,262,105,436,4276839.237,,
single-door,2009,263,106,434,4234146.341,1573200000,1573200000
single-door,2010,263,107,433,4212972.973,,
single-door,2011,263,107,431,4193513.514,,
single-door,2012,264,108,429,4151612.903,,
single-door,2013,264,108,427,4132258.065,,
single-door,2014,264,108,425,4112903.226,,
single-door,2015,264,108,422,4083870.968,,
single-door,2016,263,108,419,4065768.194,,
single-door,2017,263,108,417,4046361.186,,
single-door,2018,263,107,414,4028108.108,,
single-door,2019,262,107,411,4009756.098,,
single-door,2020,261,106,408,4002179.837,,
fridge-freezer,1966,209,36,884,12989387.76,,
fridge-freezer,1967,209,36,884,12989387.76,,
fridge-freezer,1968,209,36,884,12989387.76,,
fridge-freezer,1969,209,36,884,12989387.76,,
fridge-freezer,1970,209,36,884,12989387.76,,
fridge-freezer,1971,207,40,886,12913360.32,,
fridge-freezer,1972,207,40,886,12913360.32,,
fridge-freezer,1973,207,40,886,12913360.32,,
fridge-freezer,1974,207,40,886,12913360.32,,
fridge-freezer,1975,207,40,886,12913360.32,,
fridge-freezer,1976,206,45,888,12736254.98,,
fridge-freezer,1977,206,45,888,12736254.98,,
fridge-freezer,1978,206,45,888,12736254.98,,
fridge-freezer,1979,206,45,888,12736254.98,,
fridge-freezer,1980,206,45,888,12736254.98,,
fridge-freezer,1981,208,51,888,12342857.14,,
fridge-freezer,1982,208,51,888,12342857.14,,
fridge-freezer,1983,208,51,888,12342857.14,,
fridge-freezer,1984,208,51,888,12342857.14,,
fridge-freezer,1985,208,51,888,12342857.14,,
fridge-freezer,1986,226,64,853,10588965.52,,
fridge-freezer,1987,226,64,853,10588965.52,,
fridge-freezer,1988,226,64,853,10588965.52,,
fridge-freezer,1989,226,64,853,10588965.52,,
fridge-freezer,1990,226,64,853,10588965.52,,
fridge-freezer,1991,246,80,731,8072392.638,,
fridge-freezer,1992,248,83,726,7896072.508,,
fridge-freezer,1993,250,85,721,7748059.701,,
fridge-freezer,1994,248,85,703,7600000,,
fridge-freezer,1995,252,88,696,7369411.765,,
fridge-freezer,1996,255,91,708,7366473.988,,
fridge-freezer,1997,253,92,675,7043478.261,,
fridge-freezer,1998,252,92,645,6750000,,
fridge-freezer,1999,248,97,596,6219130.435,,
fridge-freezer,2000,254,93,588,6100288.184,,
fridge-freezer,2001,263,100,604,5990082.645,,
fridge-freezer,2002,260,100,598,5980000,,
fridge-freezer,2003,262,101,583,5781818.182,,
fridge-freezer,2004,257,96,525,5354107.649,,
fridge-freezer,2005,259,100,450,4512534.819,,
fridge-freezer,2006,262,104,438,4308196.721,,
fridge-freezer,2007,262,104,437,4298360.656,,
fridge-freezer,2008,262,105,436,4276839.237,,
fridge-freezer,2009,263,106,434,4234146.341,,
fridge-freezer,2010,263,107,433,4212972.973,,
fridge-freezer,2011,263,107,431,4193513.514,,
fridge-freezer,2012,264,108,429,4151612.903,,
fridge-freezer,2013,264,108,427,4132258.065,,
fridge-freezer,2014,264,108,425,4112903.226,,
fridge-freezer,2015,264,108,422,4083870.968,,
fridge-freezer,2016,263,108,419,4065768.194,,
fridge-freezer,2017,263,108,417,4046361.186,,
fridge-freezer,2018,263,107,414,4028108.108,,
fridge-freezer,2019,262,107,411,4009756.098,,
fridge-freezer,2020,261,106,408,4002179.837,,
side-by-side,1966,209,36,884,12989387.76,,
side-by-side,1967,209,36,884,12989387.76,,
side-by-side,1968,209,36,884,12989387.76,,
side-by-side,1969,209,36,884,12989387.76,,
side-by-side,1970,209,36,884,12989387.76,,
side-by-side,1971,207,40,886,12913360.32,,
side-by-side,1972,207,40,886,12913360.32,,
side-by-side,1973,207,40,886,12913360.32,,
side-by-side,1974,207,40,886,12913360.32,,
side-by-side,1975,207,40,886,12913360.32,,
side-by-side,1976,206,45,888,12736254.98,,
side-by-side,1977,206,45,888,12736254.98,,
side-by-side,1978,206,45,888,12736254.98,,
side-by-side,1979,206,45,888,12736254.98,,
side-by-side,1980,206,45,888,12736254.98,,
side-by-side,1981,208,51,888,12342857.14,,
side-by-side,1982,208,51,888,12342857.14,,
side-by-side,1983,208,51,888,12342857.14,,
side-by-side,1984,208,51,888,12342857.14,,
side-by-side,1985,208,51,888,12342857.14,,
side-by-side,1986,226,64,853,10588965.52,,
side-by-side,1987,226,64,853,10588965.52,,
side-by-side,1988,226,64,853,10588965.52,,
side-by-side,1989,226,64,853,10588965.52,,
side-by-side,1990,226,64,853,10588965.52,,
side-by-side,1991,246,80,731,8072392.638,,
side-by-side,1992,248,83,726,7896072.508,,
side-by-side,1993,250,85,721,7748059.701,,
side-by-side,1994,248,85,703,7600000,,
side-by-side,1995,252,88,696,7369411.765,,
side-by-side,1996,255,91,708,7366473.988,,
side-by-side,1997,253,92,675,7043478.261,,
side-by-side,1998,252,92,645,6750000,,
side-by-side,1999,248,97,596,6219130.435,,
side-by-side,2000,254,93,588,6100288.184,,
side-by-side,2001,263,100,604,5990082.645,,
