type,year,capacity,cop,eer,electric_intensity,electric_intensity_standby,gas_intensity_standby
central-evaporative,1966,12000,,15,800,0,
central-evaporative,1967,12000,,15,800,0,
central-evaporative,1968,12000,,15,800,0,
central-evaporative,1969,12000,,15,800,0,
central-evaporative,1970,12000,,15,800,0,
central-evaporative,1971,12000,,15,800,0,
central-evaporative,1972,12000,,15,800,0,
central-evaporative,1973,12000,,15,800,0,
central-evaporative,1974,12000,,15,800,0,
central-evaporative,1975,12000,,15,800,0,
central-evaporative,1976,12000,,15,800,0,
central-evaporative,1977,12000,,15,800,0,
central-evaporative,1978,12000,,15,800,0,
central-evaporative,1979,12000,,15,800,0,
central-evaporative,1980,12000,,15,800,0,
central-evaporative,1981,12000,,15,800,0,
central-evaporative,1982,12000,,15,800,0,
central-evaporative,1983,12000,,15,800,0,
central-evaporative,1984,12000,,15,800,0,
central-evaporative,1985,12000,,15,800,0,
central-evaporative,1986,12000,,15,800,0,
central-evaporative,1987,12000,,15,800,0,
central-evaporative,1988,12000,,15,800,0,
central-evaporative,1989,12000,,15,800,0,
central-evaporative,1990,12000,,15,800,0,
central-evaporative,1991,12000,,15,800,0,
central-evaporative,1992,12000,,15,800,0,
central-evaporative,1993,12000,,15,800,0.3,
central-evaporative,1994,12000,,15,800,0.5,
central-evaporative,1995,12000,,15,800,0.8,
central-evaporative,1996,12000,,15,800,1,
central-evaporative,1997,12000,,15,800,1.3,
central-evaporative,1998,12000,,15,800,1.5,
central-evaporative,1999,12000,,15,800,1.8,
central-evaporative,2000,12000,,15,800,2,
central-evaporative,2001,12000,,15,800,1.9,
central-evaporative,2002,12000,,15,800,1.8,
central-evaporative,2003,12000,,15,800,1.7,
central-evaporative,2004,12000,,15,800,1.6,
central-evaporative,2005,12000,,15,800,1.5,
central-evaporative,2006,12000,,15,800,1.4,
central-evaporative,2007,12000,,15,800,1.3,
central-evaporative,2008,12000,,15,800,1.2,
central-evaporative,2009,12000,,15,800,1.1,
central-evaporative,2010,12000,,15,800,1,
central-evaporative,2011,12000,,15,800,1,
central-evaporative,2012,12000,,15,800,0.9,
central-evaporative,2013,12000,,15,800,0.9,
central-evaporative,2014,12000,,15,800,0.8,
central-evaporative,2015,12000,,15,800,0.8,
central-evaporative,2016,12000,,15,800,0.7,
central-evaporative,2017,12000,,15,800,0.7,
central-evaporative,2018,12000,,15,800,0.6,
central-evaporative,2019,12000,,15,800,0.6,
central-evaporative,2020,12000,,15,800,0.5,
room-electric,1966,2400,1,,2400,0,
room-electric,1967,2400,1,,2400,0,
room-electric,1968,2400,1,,2400,0,
room-electric,1969,2400,1,,2400,0,
room-electric,1970,2400,1,,2400,0,
room-electric,1971,2400,1,,2400,0,
room-electric,1972,2400,1,,2400,0,
room-electric,1973,2400,1,,2400,0,
room-electric,1974,2400,1,,2400,0,
room-electric,1975,2400,1,,2400,0,
room-electric,1976,2400,1,,2400,0,
room-electric,1977,2400,1,,2400,0,
room-electric,1978,2400,1,,2400,0,
room-electric,1979,2400,1,,2400,0,
room-electric,1980,2400,1,,2400,0,
room-electric,1981,2400,1,,2400,0,
room-electric,1982,2400,1,,2400,0,
room-electric,1983,2400,1,,2400,0,
room-electric,1984,2400,1,,2400,0,
room-electric,1985,2400,1,,2400,0,
room-electric,1986,2400,1,,2400,0,
room-electric,1987,2400,1,,2400,0,
room-electric,1988,2400,1,,2400,0,
room-electric,1989,2400,1,,2400,0,
room-electric,1990,2400,1,,2400,0,
room-electric,1991,2400,1,,2400,0.2,
room-electric,1992,2400,1,,2400,0.2,
room-electric,1993,2400,1,,2400,0.2,
room-electric,1994,2400,1,,2400,0.3,
room-electric,1995,2400,1,,2400,0.3,
room-electric,1996,2400,1,,2400,0.3,
room-electric,1997,2400,1,,2400,0.3,
room-electric,1998,2400,1,,2400,0.4,
room-electric,1999,2400,1,,2400,0.4,
room-electric,2000,2400,1,,2400,0.4,
room-electric,2001,2400,1,,2400,0.4,
room-electric,2002,2400,1,,2400,0.4,
room-electric,2003,2400,1,,2400,0.4,
room-electric,2004,2400,1,,2400,0.4,
room-electric,2005,2400,1,,2400,0.5,
room-electric,2006,2400,1,,2400,0.5,
room-electric,2007,2400,1,,2400,0.5,
room-electric,2008,2400,1,,2400,0.5,
room-electric,2009,2400,1,,2400,0.5,
room-electric,2010,2400,1,,2400,0.5,
room-electric,2011,2400,1,,2400,0.5,
room-electric,2012,2400,1,,2400,0.5,
room-electric,2013,2400,1,,2400,0.5,
room-electric,2014,2400,1,,2400,0.5,
room-electric,2015,2400,1,,2400,0.6,
room-electric,2016,2400,1,,2400,0.6,
room-electric,2017,2400,1,,2400,0.6,
room-electric,2018,2400,1,,2400,0.6,
room-electric,2019,2400,1,,2400,0.6,
room-electric,2020,2400,1,,2400,0.6,
room-ac-window,1966,3900,,2.23,1749,0,
room-ac-window,1967,3900,,2.23,1749,0,
room-ac-window,1968,3900,,2.23,1749,0,
room-ac-window,1969,3900,,2.23,1749,0,
room-ac-window,1970,3900,,2.23,1749,0,
room-ac-window,1971,3850,,2.25,1715,0.1,
room-ac-window,1972,3850,,2.25,1715,0.1,
room-ac-window,1973,3850,,2.25,1715,0.1,
room-ac-window,1974,3850,,2.25,1715,0.1,
room-ac-window,1975,3850,,2.25,1715,0.1,
room-ac-window,1976,3800,,2.26,1681,0.1,
room-ac-window,1977,3800,,2.26,1681,0.1,
room-ac-window,1978,3800,,2.26,1681,0.1,
room-ac-window,1979,3800,,2.26,1681,0.1,
room-ac-window,1980,3800,,2.26,1681,0.1,
room-ac-window,1981,3750,,2.29,1642,0.2,
room-ac-window,1982,3750,,2.29,1642,0.2,
room-ac-window,1983,3750,,2.29,1642,0.2,
room-ac-window,1984,3750,,2.29,1642,0.2,
room-ac-window,1985,3750,,2.29,1642,0.2,
room-ac-window,1986,3760,,2.32,1622,0.2,
room-ac-window,1987,3760,,2.32,1622,0.2,
room-ac-window,1988,3760,,2.32,1622,0.2,
room-ac-window,1989,3760,,2.32,1622,0.2,
room-ac-window,1990,3760,,2.32,1622,0.2,
room-ac-window,1991,3710,,2.37,1563,1.7,
room-ac-window,1992,3690,,2.39,1545,2,
room-ac-window,1993,3690,,2.41,1532,2.4,
room-ac-window,1994,3700,,2.43,1520,2.8,
room-ac-window,1995,3700,,2.45,1509,3.1,
room-ac-window,1996,3700,,2.47,1499,3.5,
room-ac-window,1997,3710,,2.49,1488,3.9,
room-ac-window,1998,3700,,2.51,1476,4.3,
room-ac-window,1999,3730,,2.53,1473,4.6,
room-ac-window,2000,3720,,2.55,1458,5,
room-ac-window,2001,3680,,2.57,1432,5.1,
room-ac-window,2002,3650,,2.59,1411,5.2,
room-ac-window,2003,3640,,2.62,1391,5.3,
room-ac-window,2004,3610,,2.65,1359,5.4,
room-ac-window,2005,3580,,2.68,1336,5.5,
room-ac-window,2006,3550,,2.98,1191,5.3,
room-ac-window,2007,3500,,3.01,1161,5.1,
room-ac-window,2008,3450,,3.02,1143,4.9,
room-ac-window,2009,3410,,3.03,1126,4.7,
room-ac-window,2010,3360,,3.03,1109,4.5,
room-ac-window,2011,3330,,3.04,1097,4.5,
room-ac-window,2012,3300,,3.04,1085,4.4,
room-ac-window,2013,3270,,3.04,1075,4.4,
room-ac-window,2014,3250,,3.05,1065,4.3,
room-ac-window,2015,3220,,3.05,1056,4.3,
room-ac-window,2016,3200,,3.06,1048,4.2,
room-ac-window,2017,3180,,3.06,1040,4.2,
room-ac-window,2018,3170,,3.06,1033,4.1,
room-ac-window,2019,3150,,3.07,1027,4.1,
room-ac-window,2020,3130,,3.07,1020,4,
room-ac-pthp,1966,4000,2.43,2.21,1810,0,
room-ac-pthp,1967,4000,2.43,2.21,1810,0,
room-ac-pthp,1968,4000,2.43,2.21,1810,0,
room-ac-pthp,1969,4000,2.43,2.21,1810,0,
room-ac-pthp,1970,4000,2.43,2.21,1810,0,
room-ac-pthp,1971,4000,2.44,2.23,1798,0.1,
room-ac-pthp,1972,4000,2.44,2.23,1798,0.1,
room-ac-pthp,1973,4000,2.44,2.23,1798,0.1,
room-ac-pthp,1974,4000,2.44,2.23,1798,0.1,
room-ac-pthp,1975,4000,2.44,2.23,1798,0.1,
room-ac-pthp,1976,4000,2.45,2.24,1786,0.3,
room-ac-pthp,1977,4000,2.45,2.24,1786,0.3,
room-ac-pthp,1978,4000,2.45,2.24,1786,0.3,
room-ac-pthp,1979,4000,2.45,2.24,1786,0.3,
room-ac-pthp,1980,4000,2.45,2.24,1786,0.3,
room-ac-pthp,1981,4020,2.48,2.26,1776,0.4,
room-ac-pthp,1982,4020,2.48,2.26,1776,0.4,
room-ac-pthp,1983,4020,2.48,2.26,1776,0.4,
room-ac-pthp,1984,4020,2.48,2.26,1776,0.4,
room-ac-pthp,1985,4020,2.48,2.26,1776,0.4,
room-ac-pthp,1986,4140,2.53,2.29,1812,0.5,
room-ac-pthp,1987,4140,2.53,2.29,1812,0.5,
room-ac-pthp,1988,4140,2.53,2.29,1812,0.5,
room-ac-pthp,1989,4140,2.53,2.29,1812,0.5,
room-ac-pthp,1990,4140,2.53,2.29,1812,0.5,
room-ac-pthp,1991,4290,2.61,2.37,1813,2.6,
room-ac-pthp,1992,4330,2.63,2.38,1818,3,
room-ac-pthp,1993,4390,2.65,2.4,1829,3.5,
room-ac-pthp,1994,4450,2.67,2.42,1842,4,
room-ac-pthp,1995,4520,2.69,2.43,1856,4.5,
room-ac-pthp,1996,4590,2.71,2.45,1873,5,
room-ac-pthp,1997,4670,2.74,2.47,1888,5.5,
room-ac-pthp,1998,4740,2.76,2.49,1901,6,
room-ac-pthp,1999,4810,2.78,2.51,1914,6.5,
room-ac-pthp,2000,4880,2.81,2.54,1923,7,
room-ac-pthp,2001,4920,2.83,2.56,1926,7.2,
room-ac-pthp,2002,4960,2.85,2.58,1924,7.4,
room-ac-pthp,2003,4980,2.87,2.61,1909,7.6,
room-ac-pthp,2004,4990,2.94,2.65,1887,7.8,
room-ac-pthp,2005,5000,2.99,2.74,1829,8,
room-ac-pthp,2006,5010,3.2,3.02,1659,7.8,
room-ac-pthp,2007,5000,3.3,3.1,1612,7.6,
room-ac-pthp,2008,4980,3.3,3.11,1603,7.4,
room-ac-pthp,2009,4960,3.31,3.11,1593,7.2,
room-ac-pthp,2010,4940,3.32,3.12,1581,7,
room-ac-pthp,2011,4910,3.32,3.13,1570,6.8,
room-ac-pthp,2012,4880,3.32,3.13,1558,6.6,
room-ac-pthp,2013,4860,3.33,3.14,1548,6.4,
room-ac-pthp,2014,4830,3.33,3.14,1538,6.2,
room-ac-pthp,2015,4810,3.34,3.15,1529,6,
room-ac-pthp,2016,4790,3.34,3.15,1520,5.8,
room-ac-pthp,2017,4770,3.35,3.16,1512,5.6,
room-ac-pthp,2018,4760,3.35,3.16,1504,5.4,
room-ac-pthp,2019,4740,3.36,3.17,1496,5.2,
room-ac-pthp,2020,4720,3.36,3.17,1488,5,
central-ac-packaged,1966,7970,,2.06,5536,35,
central-ac-packaged,1967,7970,,2.06,5536,35,
central-ac-packaged,1968,7970,,2.06,5536,35,
central-ac-packaged,1969,7970,,2.06,5536,35,
central-ac-packaged,1970,7970,,2.06,5536,35,
central-ac-packaged,1971,8170,,2.09,5586,35,
central-ac-packaged,1972,8170,,2.09,5586,35,
central-ac-packaged,1973,8170,,2.09,5586,35,
central-ac-packaged,1974,8170,,2.09,5586,35,
central-ac-packaged,1975,8170,,2.09,5586,35,
central-ac-packaged,1976,8370,,2.11,5655,35,
central-ac-packaged,1977,8370,,2.11,5655,35,
central-ac-packaged,1978,8370,,2.11,5655,35,
central-ac-packaged,1979,8370,,2.11,5655,35,
central-ac-packaged,1980,8370,,2.11,5655,35,
central-ac-packaged,1981,8540,,2.14,5690,35,
central-ac-packaged,1982,8540,,2.14,5690,35,
central-ac-packaged,1983,8540,,2.14,5690,35,
central-ac-packaged,1984,8540,,2.14,5690,35,
central-ac-packaged,1985,8540,,2.14,5690,35,
central-ac-packaged,1986,8670,,2.19,5645,35,
central-ac-packaged,1987,8670,,2.19,5645,35,
central-ac-packaged,1988,8670,,2.19,5645,35,
central-ac-packaged,1989,8670,,2.19,5645,35,
central-ac-packaged,1990,8670,,2.19,5645,35,
central-ac-packaged,1991,8800,,2.25,5594,35,
central-ac-packaged,1992,8830,,2.26,5577,35,
central-ac-packaged,1993,8870,,2.28,5560,35.4,
central-ac-packaged,1994,8900,,2.29,5544,35.8,
central-ac-packaged,1995,8930,,2.31,5528,36.1,
central-ac-packaged,1996,8970,,2.32,5513,36.5,
central-ac-packaged,1997,9000,,2.34,5498,36.9,
central-ac-packaged,1998,9030,,2.35,5482,37.3,
central-ac-packaged,1999,9060,,2.37,5467,37.6,
central-ac-packaged,2000,9090,,2.38,5451,38,
central-ac-packaged,2001,9120,,2.44,5335,38.3,
central-ac-packaged,2002,9150,,2.5,5224,38.6,
central-ac-packaged,2003,9180,,2.56,5118,38.9,
central-ac-packaged,2004,9210,,2.62,5017,39.2,
central-ac-packaged,2005,9240,,2.67,4939,39.5,
central-ac-packaged,2006,9270,,2.72,4862,39.6,
central-ac-packaged,2007,9300,,2.77,4792,39.7,
central-ac-packaged,2008,9330,,2.78,4792,39.8,
central-ac-packaged,2009,9370,,2.79,4793,39.9,
central-ac-packaged,2010,9420,,2.8,4796,40,
central-ac-packaged,2011,9450,,2.81,4807,39.8,
central-ac-packaged,2012,9490,,2.81,4815,39.6,
central-ac-packaged,2013,9520,,2.82,4821,39.4,
central-ac-packaged,2014,9540,,2.83,4825,39.2,
central-ac-packaged,2015,9560,,2.83,4826,39,
central-ac-packaged,2016,9580,,2.84,4825,38.8,
central-ac-packaged,2017,9590,,2.84,4822,38.6,
central-ac-packaged,2018,9600,,2.85,4819,38.4,
central-ac-packaged,2019,9610,,2.85,4814,38.2,
central-ac-packaged,2020,9620,,2.86,4809,38,
central-ac-packaged-heat-pump,1966,9300,2.38,,"5,582",0,
central-ac-packaged-heat-pump,1967,9300,2.38,,"5,582",0,
central-ac-packaged-heat-pump,1968,9300,2.38,,"5,582",0,
central-ac-packaged-heat-pump,1969,9300,2.38,,"5,582",0,
central-ac-packaged-heat-pump,1970,9300,2.38,,"5,582",0,
central-ac-packaged-heat-pump,1971,9500,2.41,,"5,631",0,
central-ac-packaged-heat-pump,1972,9500,2.41,,"5,631",0,
central-ac-packaged-heat-pump,1973,9500,2.41,,"5,631",0,
central-ac-packaged-heat-pump,1974,9500,2.41,,"5,631",0,
central-ac-packaged-heat-pump,1975,9500,2.41,,"5,631",0,
central-ac-packaged-heat-pump,1976,9700,2.46,,"5,633",0,
central-ac-packaged-heat-pump,1977,9700,2.46,,"5,633",0,
central-ac-packaged-heat-pump,1978,9700,2.46,,"5,633",0,
central-ac-packaged-heat-pump,1979,9700,2.46,,"5,633",0,
central-ac-packaged-heat-pump,1980,9700,2.46,,"5,633",0,
central-ac-packaged-heat-pump,1981,9870,2.52,,"5,606",0,
central-ac-packaged-heat-pump,1982,9870,2.52,,"5,606",0,
central-ac-packaged-heat-pump,1983,9870,2.52,,"5,606",0,
central-ac-packaged-heat-pump,1984,9870,2.52,,"5,606",0,
central-ac-packaged-heat-pump,1985,9870,2.52,,"5,606",0,
central-ac-packaged-heat-pump,1986,10000,2.59,,"5,516",0,
central-ac-packaged-heat-pump,1987,10000,2.59,,"5,516",0,
central-ac-packaged-heat-pump,1988,10000,2.59,,"5,516",0,
central-ac-packaged-heat-pump,1989,10000,2.59,,"5,516",0,
central-ac-packaged-heat-pump,1990,10000,2.59,,"5,516",0,
central-ac-packaged-heat-pump,1991,10140,2.67,,"5,424",0,
central-ac-packaged-heat-pump,1992,10170,2.69,,"5,401",0,
central-ac-packaged-heat-pump,1993,10200,2.71,,"5,378",0,
central-ac-packaged-heat-pump,1994,10230,2.73,,"5,355",0,
central-ac-packaged-heat-pump,1995,10270,2.75,,"5,333",0,
central-ac-packaged-heat-pump,1996,10300,2.77,,"5,312",0,
central-ac-packaged-heat-pump,1997,10330,2.79,,"5,291",0,
central-ac-packaged-heat-pump,1998,10360,2.81,,"5,269",0,
central-ac-packaged-heat-pump,1999,10400,2.83,,"5,248",0,
central-ac-packaged-heat-pump,2000,10430,2.85,,"5,227",0,
central-ac-packaged-heat-pump,2001,10460,2.9,,"5,151",0,
central-ac-packaged-heat-pump,2002,10490,2.95,,"5,078",0,
central-ac-packaged-heat-pump,2003,10520,3,,"5,007",0,
central-ac-packaged-heat-pump,2004,10540,3.05,,"4,939",0,
central-ac-packaged-heat-pump,2005,10570,3.1,,"4,872",0,
central-ac-packaged-heat-pump,2006,10600,3.15,,"4,807",0,
central-ac-packaged-heat-pump,2007,10630,3.2,,"4,747",0,
central-ac-packaged-heat-pump,2008,10670,3.21,,"4,743",0,
central-ac-packaged-heat-pump,2009,10710,3.23,,"4,740",0,
central-ac-packaged-heat-pump,2010,10750,3.24,,"4,740",0,
central-ac-packaged-heat-pump,2011,10790,3.25,,"4,748",0,
central-ac-packaged-heat-pump,2012,10820,3.25,,"4,754",0,
central-ac-packaged-heat-pump,2013,10850,3.26,,"4,758",0,
central-ac-packaged-heat-pump,2014,10880,3.26,,"4,760",0,
central-ac-packaged-heat-pump,2015,10900,3.27,,"4,760",0,
central-ac-packaged-heat-pump,2016,10910,3.28,,"4,758",0,
central-ac-packaged-heat-pump,2017,10920,3.28,,"4,755",0,
central-ac-packaged-heat-pump,2018,10930,3.29,,"4,751",0,
central-ac-packaged-heat-pump,2019,10940,3.29,,"4,746",0,
central-ac-packaged-heat-pump,2020,10950,3.3,,"4,740",0,
room-gas,1966,,0.65,,35,0,111
room-gas,1967,,0.65,,35,0,111
room-gas,1968,,0.65,,35,0,111
room-gas,1969,,0.65,,35,0,111
room-gas,1970,,0.65,,35,0,111
room-gas,1971,,0.65,,35,0,110.4
room-gas,1972,,0.65,,35,0,110.4
room-gas,1973,,0.65,,35,0,110.4
room-gas,1974,,0.65,,35,0,110.4
room-gas,1975,,0.65,,35,0,110.4
room-gas,1976,,0.65,,35,0,109.7
room-gas,1977,,0.65,,35,0,109.7
room-gas,1978,,0.65,,35,0,109.7
room-gas,1979,,0.65,,35,0,109.7
room-gas,1980,,0.65,,35,0,109.7
room-gas,1981,,0.65,,35,0,109.1
room-gas,1982,,0.65,,35,0,109.1
room-gas,1983,,0.65,,35,0,109.1
room-gas,1984,,0.65,,35,0,109.1
room-gas,1985,,0.65,,35,0,109.1
room-gas,1986,,0.65,,35,0,108.4
room-gas,1987,,0.65,,35,0,108.4
room-gas,1988,,0.65,,35,0,108.4
room-gas,1989,,0.65,,35,0,108.4
room-gas,1990,,0.65,,35,0,108.4
room-gas,1991,,0.65,,35,0,107.8
room-gas,1992,,0.65,,35,0,107.8
room-gas,1993,,0.65,,35,0.4,96.4
room-gas,1994,,0.65,,35,0.8,85
room-gas,1995,,0.65,,35,1.1,73.2
room-gas,1996,,0.65,,35,1.5,61.8
room-gas,1997,,0.65,,35,1.9,50.4
room-gas,1998,,0.65,,35,2.3,39
room-gas,1999,,0.65,,35,2.6,27.3
room-gas,2000,,0.65,,35,3,15.9
room-gas,2001,,0.65,,35.5,3.2,15.2
room-gas,2002,,0.64,,36,3.4,14.6
room-gas,2003,,0.64,,36.5,3.6,14
room-gas,2004,,0.63,,37,3.8,13.3
room-gas,2005,,0.63,,37.5,4,12.7
room-gas,2006,,0.62,,38,4.2,12
room-gas,2007,,0.62,,38.5,3.7,11.4
room-gas,2008,,0.61,,39,3.1,10.8
room-gas,2009,,0.61,,39.5,2.6,10.1
room-gas,2010,,0.6,,40,2.1,9.5
room-gas,2011,,0.6,,40.5,1.5,9.2
room-gas,2012,,0.59,,41,1,8.9
room-gas,2013,,0.59,,41.5,1,8.6
room-gas,2014,,0.58,,42,1,8.2
room-gas,2015,,0.58,,42.5,1,7.9
room-gas,2016,,0.58,,43,1,7.6
room-gas,2017,,0.57,,43.5,1,7.3
room-gas,2018,,0.57,,44,1,7
room-gas,2019,,0.56,,44.5,1,6.7
room-gas,2020,,0.56,,45,1,6.3
central-furnace-gas,1966,,0.6,,400,0,111
central-furnace-gas,1967,,0.6,,400,0,111
central-furnace-gas,1968,,0.6,,400,0,111
central-furnace-gas,1969,,0.6,,400,0,111
central-furnace-gas,1970,,0.6,,400,0,111
central-furnace-gas,1971,,0.61,,419,0,110.4
central-furnace-gas,1972,,0.61,,419,0,110.4
central-furnace-gas,1973,,0.61,,419,0,110.4
central-furnace-gas,1974,,0.61,,419,0,110.4
central-furnace-gas,1975,,0.61,,419,0,110.4
central-furnace-gas,1976,,0.62,,438,0,109.7
central-furnace-gas,1977,,0.62,,438,0,109.7
central-furnace-gas,1978,,0.62,,438,0,109.7
central-furnace-gas,1979,,0.62,,438,0,109.7
