type,year,electric_intensity,electric_intensity_standby,electric_intensity_off,
crt,1966,55,0,0,"currently repeats, need better data here"
crt,1967,55,0,0,
crt,1968,55,0,0,
crt,1969,55,0,0,
crt,1970,55,0,0,
crt,1971,57.5,0.3,0,
crt,1972,57.5,0.3,0,
crt,1973,57.5,0.3,0,
crt,1974,57.5,0.3,0,
crt,1975,57.5,0.3,0,
crt,1976,60,0.5,0,
crt,1977,60,0.5,0,
crt,1978,60,0.5,0,
crt,1979,60,0.5,0,
crt,1980,60,0.5,0,
crt,1981,62.5,0.8,0,
crt,1982,62.5,0.8,0,
crt,1983,62.5,0.8,0,
crt,1984,62.5,0.8,0,
crt,1985,62.5,0.8,0,
crt,1986,65,1,0,
crt,1987,65,1,0,
crt,1988,65,1,0,
crt,1989,65,1,0,
crt,1990,65,1,0,
crt,1991,65.7,12.7,0,
crt,1992,66.3,15,0,
crt,1993,67,14,0,
crt,1994,67.6,13,0,
crt,1995,68.7,12,0,
crt,1996,69.7,11,0.1,
crt,1997,70.7,10,0.1,
crt,1998,72.1,8.9,0.1,
crt,1999,73.4,7.9,0.1,
crt,2000,75.4,6.9,0.1,
crt,2001,77.6,6,0.1,
crt,2002,79.7,5.2,0.1,
crt,2003,81.9,4.2,0.1,
crt,2004,87.2,3.5,0.1,
crt,2005,100.2,3.1,0.1,
crt,2006,120.9,2.5,0.1,
crt,2007,140.9,2.1,0.1,
crt,2008,158.4,1.7,0.1,
crt,2009,173.7,1.5,0.1,
crt,2010,187.2,1.3,0.1,
crt,2011,191.3,1.2,0.1,
crt,2012,196.9,1.1,0.1,
crt,2013,203.4,1,0.1,
crt,2014,210.4,1,0.1,
crt,2015,217.9,0.9,0.1,
crt,2016,225.5,0.9,0,
crt,2017,229.4,0.8,0,
crt,2018,231,0.7,0,
crt,2019,230.9,0.7,0,
crt,2020,229.6,0.6,0,
lcd,1966,55,0,0,
lcd,1967,55,0,0,
lcd,1968,55,0,0,
lcd,1969,55,0,0,
lcd,1970,55,0,0,
lcd,1971,57.5,0.3,0,
lcd,1972,57.5,0.3,0,
lcd,1973,57.5,0.3,0,
lcd,1974,57.5,0.3,0,
lcd,1975,57.5,0.3,0,
lcd,1976,60,0.5,0,
lcd,1977,60,0.5,0,
lcd,1978,60,0.5,0,
lcd,1979,60,0.5,0,
lcd,1980,60,0.5,0,
lcd,1981,62.5,0.8,0,
lcd,1982,62.5,0.8,0,
lcd,1983,62.5,0.8,0,
lcd,1984,62.5,0.8,0,
lcd,1985,62.5,0.8,0,
lcd,1986,65,1,0,
lcd,1987,65,1,0,
lcd,1988,65,1,0,
lcd,1989,65,1,0,
lcd,1990,65,1,0,
lcd,1991,65.7,12.7,0,
lcd,1992,66.3,15,0,
lcd,1993,67,14,0,
lcd,1994,67.6,13,0,
lcd,1995,68.7,12,0,
lcd,1996,69.7,11,0.1,
lcd,1997,70.7,10,0.1,
lcd,1998,72.1,8.9,0.1,
lcd,1999,73.4,7.9,0.1,
lcd,2000,75.4,6.9,0.1,
lcd,2001,77.6,6,0.1,
lcd,2002,79.7,5.2,0.1,
lcd,2003,81.9,4.2,0.1,
lcd,2004,87.2,3.5,0.1,
lcd,2005,100.2,3.1,0.1,
lcd,2006,120.9,2.5,0.1,
lcd,2007,140.9,2.1,0.1,
lcd,2008,158.4,1.7,0.1,
lcd,2009,173.7,1.5,0.1,
lcd,2010,187.2,1.3,0.1,
lcd,2011,191.3,1.2,0.1,
lcd,2012,196.9,1.1,0.1,
lcd,2013,203.4,1,0.1,
lcd,2014,210.4,1,0.1,
lcd,2015,217.9,0.9,0.1,
lcd,2016,225.5,0.9,0,
lcd,2017,229.4,0.8,0,
lcd,2018,231,0.7,0,
lcd,2019,230.9,0.7,0,
lcd,2020,229.6,0.6,0,
led,1966,55,0,0,
led,1967,55,0,0,
led,1968,55,0,0,
led,1969,55,0,0,
led,1970,55,0,0,
led,1971,57.5,0.3,0,
led,1972,57.5,0.3,0,
led,1973,57.5,0.3,0,
led,1974,57.5,0.3,0,
led,1975,57.5,0.3,0,
led,1976,60,0.5,0,
led,1977,60,0.5,0,
led,1978,60,0.5,0,
led,1979,60,0.5,0,
led,1980,60,0.5,0,
led,1981,62.5,0.8,0,
led,1982,62.5,0.8,0,
led,1983,62.5,0.8,0,
led,1984,62.5,0.8,0,
led,1985,62.5,0.8,0,
led,1986,65,1,0,
led,1987,65,1,0,
led,1988,65,1,0,
led,1989,65,1,0,
led,1990,65,1,0,
led,1991,65.7,12.7,0,
led,1992,66.3,15,0,
led,1993,67,14,0,
led,1994,67.6,13,0,
led,1995,68.7,12,0,
led,1996,69.7,11,0.1,
led,1997,70.7,10,0.1,
led,1998,72.1,8.9,0.1,
led,1999,73.4,7.9,0.1,
led,2000,75.4,6.9,0.1,
led,2001,77.6,6,0.1,
led,2002,79.7,5.2,0.1,
led,2003,81.9,4.2,0.1,
led,2004,87.2,3.5,0.1,
led,2005,100.2,3.1,0.1,
led,2006,120.9,2.5,0.1,
led,2007,140.9,2.1,0.1,
led,2008,158.4,1.7,0.1,
led,2009,173.7,1.5,0.1,
led,2010,187.2,1.3,0.1,
led,2011,191.3,1.2,0.1,
led,2012,196.9,1.1,0.1,
led,2013,203.4,1,0.1,
led,2014,210.4,1,0.1,
led,2015,217.9,0.9,0.1,
led,2016,225.5,0.9,0,
led,2017,229.4,0.8,0,
led,2018,231,0.7,0,
led,2019,230.9,0.7,0,
led,2020,229.6,0.6,0,
plasma,1966,55,0,0,
plasma,1967,55,0,0,
plasma,1968,55,0,0,
plasma,1969,55,0,0,
plasma,1970,55,0,0,
plasma,1971,57.5,0.3,0,
plasma,1972,57.5,0.3,0,
plasma,1973,57.5,0.3,0,
plasma,1974,57.5,0.3,0,
plasma,1975,57.5,0.3,0,
plasma,1976,60,0.5,0,
plasma,1977,60,0.5,0,
plasma,1978,60,0.5,0,
plasma,1979,60,0.5,0,
plasma,1980,60,0.5,0,
plasma,1981,62.5,0.8,0,
plasma,1982,62.5,0.8,0,
plasma,1983,62.5,0.8,0,
plasma,1984,62.5,0.8,0,
plasma,1985,62.5,0.8,0,
plasma,1986,65,1,0,
plasma,1987,65,1,0,
plasma,1988,65,1,0,
plasma,1989,65,1,0,
plasma,1990,65,1,0,
plasma,1991,65.7,12.7,0,
plasma,1992,66.3,15,0,
plasma,1993,67,14,0,
plasma,1994,67.6,13,0,
plasma,1995,68.7,12,0,
plasma,1996,69.7,11,0.1,
plasma,1997,70.7,10,0.1,
plasma,1998,72.1,8.9,0.1,
plasma,1999,73.4,7.9,0.1,
plasma,2000,75.4,6.9,0.1,
plasma,2001,77.6,6,0.1,
plasma,2002,79.7,5.2,0.1,
plasma,2003,81.9,4.2,0.1,
plasma,2004,87.2,3.5,0.1,
plasma,2005,100.2,3.1,0.1,
plasma,2006,120.9,2.5,0.1,
plasma,2007,140.9,2.1,0.1,
plasma,2008,158.4,1.7,0.1,
plasma,2009,173.7,1.5,0.1,
plasma,2010,187.2,1.3,0.1,
plasma,2011,191.3,1.2,0.1,
plasma,2012,196.9,1.1,0.1,
plasma,2013,203.4,1,0.1,
plasma,2014,210.4,1,0.1,
plasma,2015,217.9,0.9,0.1,
plasma,2016,225.5,0.9,0,
plasma,2017,229.4,0.8,0,
plasma,2018,231,0.7,0,
plasma,2019,230.9,0.7,0,
plasma,2020,229.6,0.6,0,
rear-projection,1966,55,0,0,
rear-projection,1967,55,0,0,
rear-projection,1968,55,0,0,
rear-projection,1969,55,0,0,
rear-projection,1970,55,0,0,
rear-projection,1971,57.5,0.3,0,
rear-projection,1972,57.5,0.3,0,
rear-projection,1973,57.5,0.3,0,
rear-projection,1974,57.5,0.3,0,
rear-projection,1975,57.5,0.3,0,
rear-projection,1976,60,0.5,0,
rear-projection,1977,60,0.5,0,
rear-projection,1978,60,0.5,0,
rear-projection,1979,60,0.5,0,
rear-projection,1980,60,0.5,0,
rear-projection,1981,62.5,0.8,0,
rear-projection,1982,62.5,0.8,0,
rear-projection,1983,62.5,0.8,0,
rear-projection,1984,62.5,0.8,0,
rear-projection,1985,62.5,0.8,0,
rear-projection,1986,65,1,0,
rear-projection,1987,65,1,0,
rear-projection,1988,65,1,0,
rear-projection,1989,65,1,0,
rear-projection,1990,65,1,0,
rear-projection,1991,65.7,12.7,0,
rear-projection,1992,66.3,15,0,
rear-projection,1993,67,14,0,
rear-projection,1994,67.6,13,0,
rear-projection,1995,68.7,12,0,
rear-projection,1996,69.7,11,0.1,
rear-projection,1997,70.7,10,0.1,
rear-projection,1998,72.1,8.9,0.1,
rear-projection,1999,73.4,7.9,0.1,
rear-projection,2000,75.4,6.9,0.1,
rear-projection,2001,77.6,6,0.1,
rear-projection,2002,79.7,5.2,0.1,
rear-projection,2003,81.9,4.2,0.1,
rear-projection,2004,87.2,3.5,0.1,
rear-projection,2005,100.2,3.1,0.1,
