type,year,efficiency,electric_intensity_standby,gas_intensity_standby,cop
electric-storage,1966,0.98,137.5,,
electric-storage,1967,0.98,127.5,,
electric-storage,1968,0.98,127.5,,
electric-storage,1969,0.98,127.5,,
electric-storage,1970,0.98,127.5,,
electric-storage,1971,0.98,132.5,,
electric-storage,1972,0.98,127.5,,
electric-storage,1973,0.98,127.5,,
electric-storage,1974,0.98,127.5,,
electric-storage,1975,0.98,127.5,,
electric-storage,1976,0.98,127.5,,
electric-storage,1977,0.98,127.5,,
electric-storage,1978,0.98,127.5,,
electric-storage,1979,0.98,127.5,,
electric-storage,1980,0.98,127.5,,
electric-storage,1981,0.98,127.5,,
electric-storage,1982,0.98,127.5,,
electric-storage,1983,0.98,127.5,,
electric-storage,1984,0.98,127.5,,
electric-storage,1985,0.98,127.5,,
electric-storage,1986,0.98,127.5,,
electric-storage,1987,0.98,127.5,,
electric-storage,1988,0.98,127.5,,
electric-storage,1989,0.98,127.5,,
electric-storage,1990,0.98,127.5,,
electric-storage,1991,0.98,114.1666667,,
electric-storage,1992,0.98,111.25,,
electric-storage,1993,0.98,111.25,,
electric-storage,1994,0.98,111.25,,
electric-storage,1995,0.98,111.25,,
electric-storage,1996,0.98,111.25,,
electric-storage,1997,0.98,111.25,,
electric-storage,1998,0.98,111.25,,
electric-storage,1999,0.98,111.25,,
electric-storage,2000,0.98,86.66666667,,
electric-storage,2001,0.98,86.66666667,,
electric-storage,2002,0.98,86.66666667,,
electric-storage,2003,0.98,86.66666667,,
electric-storage,2004,0.98,86.66666667,,
electric-storage,2005,0.98,86.66666667,,
electric-storage,2006,0.98,82.91666667,,
electric-storage,2007,0.98,82.91666667,,
electric-storage,2008,0.98,82.91666667,,
electric-storage,2009,0.98,82.91666667,,
electric-storage,2010,0.98,82.91666667,,
electric-storage,2011,0.98,82.91666667,,
electric-storage,2012,0.98,82.91666667,,
electric-storage,2013,0.98,82.91666667,,
electric-storage,2014,0.98,82.91666667,,
electric-storage,2015,0.98,82.91666667,,
electric-storage,2016,0.98,82.91666667,,
electric-storage,2017,0.98,82.91666667,,
electric-storage,2018,0.98,82.91666667,,
electric-storage,2019,0.98,82.91666667,,
electric-storage,2020,0.98,82.91666667,,
electric-storage-off-peak,1966,0.98,137.5,,
electric-storage-off-peak,1967,0.98,127.5,,
electric-storage-off-peak,1968,0.98,127.5,,
electric-storage-off-peak,1969,0.98,127.5,,
electric-storage-off-peak,1970,0.98,127.5,,
electric-storage-off-peak,1971,0.98,132.5,,
electric-storage-off-peak,1972,0.98,127.5,,
electric-storage-off-peak,1973,0.98,127.5,,
electric-storage-off-peak,1974,0.98,127.5,,
