Location,Source,WMO,Lat,Lon,Altitude
ABU DHABI,IWEC Data,412170,24.43,54.65,27
BUENOS AIRES,IWEC Data,875760,-34.82,-58.53,20
CANBERRA,IWEC Data,949260,-35.3,149.18,577
Canberra Airport,RMY,949260,-35.3,149.2,580
Cobar,RMY,947110,-31.48,145.83,264
Coffs Harbour,RMY,947910,-30.32,153.12,6
Dubbo Airport,RMY,957190,-32.22,148.57,285
Moree Aero,RMY,955270,-29.48,149.83,218
Nowra RAN Air Station,RMY,947500,-34.95,150.53,105
Richmond RAAF,RMY,957530,-33.6,150.78,20
SYDNEY,IWEC Data,947670,-33.95,151.18,3
Sydney,RMY,947680,-33.85,151.2,40
Wagga Wagga,RMY,949100,-35.17,147.45,213
Williamtown RAAF,RMY,947760,-32.8,151.83,8
Alice Springs Airport,RMY,943260,-23.8,133.88,547
DARWIN,IWEC Data,941200,-12.4,130.87,30
Darwin Airport,RMY,941200,-12.42,130.88,35
Tennant Creek,RMY,942380,-19.63,134.18,377
Amberly,RMY,945680,-27.63,152.72,31
BRISBANE,IWEC Data,945780,-27.38,153.1,5
Charleville Aero,RMY,945100,-26.42,146.27,303
Gladstone Airport,RMY,943810,-23.87,151.22,17
Longreach Aero,RMY,943460,-23.43,144.28,192
Mackay,RMY,943670,-21.12,149.22,36
Mount Isa Aero,RMY,943320,-20.68,139.48,341
Oakey Aero,RMY,945520,-27.42,151.73,407
Rockhampton Aero,RMY,943740,-23.38,150.48,14
Townsville Aero,RMY,942940,-19.25,146.77,9
Weipa Aero,RMY,941700,-12.68,141.92,19
Willis Island,RMY,942990,-16.3,149.97,9
ADELAIDE,IWEC Data,946720,-34.93,138.52,4
Ceduna,RMY,946530,-32.13,133.7,16
Mount Gambier Aero,RMY,948210,-37.73,140.78,69
Woomera Aerodrome,RMY,946590,-31.15,136.82,168
Launceston Airport,RMY,949680,-41.53,147.2,178
Ballarat Aerodrome,RMY,948520,-37.52,143.78,436
Cape Otway Lighthouse,RMY,948420,-38.85,143.52,83
East Sale Airport,RMY,949070,-38.1,147.13,8
MELBOURNE,IWEC Data,948660,-37.67,144.83,141
Melbourne,RMY,948680,-37.82,144.97,32
Mildura Airport,RMY,946930,-34.23,142.08,53
Moorabbin Airport,RMY,948700,-37.98,145.1,13
Albany Airport,RMY,948020,-34.93,117.8,69
Broome Airport,RMY,942030,-17.95,122.23,9
Carnarvon Airport,RMY,943000,-24.88,113.67,8
Esperance,RMY,946380,-33.83,121.88,27
Forrest,RMY,956460,-30.83,128.12,160
Geraldton Airport,RMY,944030,-28.8,114.7,35
Halls Creek Airport,RMY,942120,-18.23,127.67,424
LEARMONTH,IWEC Data,943020,-22.23,114.08,6
Learmonth Airport,RMY,943020,-22.23,114.08,5
Mandurah,RMY,946050,-32.52,115.72,4
Meekatharra Airport,RMY,944300,-26.62,118.55,519
PERTH,IWEC Data,946100,-31.93,115.95,29
Perth Airport,RMY,946100,-31.93,115.97,20
PORT HEDLAND,IWEC Data,943120,-20.23,119.1,8
Port Hedland Airport,RMY,943120,-20.37,118.63,9
Swanbourne,RMY,946140,-31.95,115.77,20
Wyndham,RMY,942140,-15.48,128.12,16
GRAZ,IWEC Data,112400,47,15.43,347
INNSBRUCK,IWEC Data,111200,47.27,11.35,593
LINZ,IWEC Data,110100,48.23,14.2,313
SALZBURG,IWEC Data,111500,47.8,13,450
VIENNA_ SCHWECHAT,IWEC Data,110360,48.12,16.57,190
BRUSSELS,IWEC Data,64510,50.9,4.53,58
OOSTENDE,IWEC Data,64070,51.2,2.87,5
SAINT HUBERT,IWEC Data,64760,50.03,5.4,557
PLOVDIV,IWEC Data,156250,42.13,24.75,185
SOFIA,IWEC Data,156140,42.73,23.38,595
VARNA,IWEC Data,155520,43.2,27.92,43
BANJA LUKA,IWEC Data,132420,44.78,17.22,156
MINSK,IWEC Data,268500,53.87,27.53,234
BELIZE_INTL_AIRPORT,SWERA,785830,17.53,-88.3,5
LA PAZ,IWEC Data,852010,-16.52,-68.18,4042
BELEM,IWEC Data,821930,-1.38,-48.48,16
BOA_VISTA_(CIV/MIL),SWERA,820220,2.83,-60.7,140
BRASILIA,IWEC Data,833780,-15.87,-47.93,1061
BRASILIA_(CIV/MIL),SWERA,833780,-15.87,-47.93,1061
CAMPO_GRANDE_INTL,SWERA,836120,-20.47,-54.67,556
FLORIANOPOLIS_ARPT,SWERA,838990,-27.67,-48.55,5
MANAUS,SWERA,821110,-3.13,-60.02,72
PORTO_VELHO(CV/MIL),SWERA,828240,-8.77,-63.92,88
RECIFE,IWEC Data,828990,-8.1,-34.88,19
SALVADOR,SWERA,832480,-13.02,-38.52,51
SAO PAULO,IWEC Data,837800,-23.62,-46.65,803
BANDAR SERI BEGAWAN,IWEC Data,963150,4.93,114.93,15
Calgary Int'l,WYEC2-B-25110,718770,51.12,-114.02,1084
Edmonton Stony Plain,WYEC2-B-25145,711230,53.53,-114.1,723
Fort McMurray,WYEC2-B-25105,719320,56.65,-111.22,369
Grand Prairie,WYEC2-e-94803,719400,55.18,-118.88,669
Lethbridge,WYEC2-e-71243,712430,49.63,-112.8,921
Medicine Hat,WYEC2-B-25118,718720,50.02,-110.72,716
Abbotsford,WYEC2-B-24288,711080,49.03,-122.37,58
Comox,WYEC2-B-24292,718930,49.72,-124.9,24
Cranbrook,WYEC2-e-94157,718800,49.6,-115.78,940
Fort St John,WYEC2-B-25231,719430,56.23,-120.73,695
Kamloops,WYEC2-B-25220,718870,50.7,-120.45,346
Port Hardy,WYEC2-B-25223,711090,50.68,-127.37,22
Prince George,WYEC2-B-25206,718960,53.88,-122.68,691
Prince Rupert,WYEC2-B-25353,718980,54.3,-130.43,34
Sandspit,WYEC2-B-25346,711010,53.25,-131.82,6
Smithers,WYEC2-B-25225,719500,54.82,-127.18,523
